,review,star
10,  update  the seller  hybrid it reached out to me and offered me several choices to make this right  i had assumed they were just trying to  slip one by   but after talking with them they seem like honest vendors who made a mistake  let me emphasize that other than low battery life left  the phone was perfect and unblemished  if i hadn t checked the battery life  i may have never known it  my apologies to hybrid it  i would buy from them again  regardless of my comment below and this ticks me off  at myself for one  i didn t check the battery before i set it up  it was a great looking phone and everything works  but battery life is    and the message from apple says  significantly degraded   but ticked off mostly to the seller  hybrid it  either they failed to even check the battery life  or they did check and decided just to sell it like that anyway  knowing it was below the guaranteed battery life  i have had good luck with these refurbished phones  but this seller ignored the rules and shipped something out of spec  i still think these refurbished phones are a good deal  just don t buy from hybrid it  and check the battery life left before setting it up ,3
11,bought this as a first phone for my middle school child  we use tello for the kids’ phone plans  worked like a charm  unlocked  charged right up and with the sim card from tello we were in business ,5
12,the phone is pretty good  i decided to switch to an iphone after using an android for years  my screen shattered on my previous phone  so i decided to try out an iphone and see how i like it  so far i am satisfied  i really can’t point out any negatives so far besides the phone being a bit small  if you’re looking to switch to an iphone from android  i would recommend the iphone    the seller also did a good job delivering the phone  it came in good protection and condition ,5
13,update  the seller offered several options to resolve our issue  we were pleased to be offered the choice of a full return or partial return to go toward the new battery  for the cost of the phone we were satisfied with the partial refund  i m changing our overall rating as a result got this for my   year old son to replace a very old ipod for christmas  he was very excited  as he s only had an ipod so far  unfortunately  the battery was not to be considered part of the  renewed  status on the phone  it was horrible and seemingly original to the phone  we thought we d return it  but knowing how old the device is and how expensive anything newer made by apple would be  we chose to keep not and replace the battery  this cost us an additional     which was actually a great deal   obviously a device this old isn t going to be anywhere near top quality  but you should know going in that you will need to replace the battery and add that into your mind for total cost before purchasing ,4
14,concerned about its water resistance,4
15,even though the battery was reading    under  battery health and charging   the battery would not last more than     hours of light use  i took it to the apple store and bought an oem battery for around     now it lasts all day and the phone that i received does work well  it is also in great condition  from the apple store scan  this iphone   was actually originally purchased in   so i was pleased it hadn t seen heavy abuse since its original release date      also  this is an at t iphone  and the sim card from my old iphone   did activate it without a problem   it also arrived with a screen protector and charge plug with cord  i would say if you buy this used budget for a new oem battery   do not buy the chinese ones and replace it yourself because it won t last  for around    used in excellent shape now with a new battery  this was a nice purchase and it was in better shape than expected ,4
16,value for money,4
17,great price  came clean and scratch free   i would buy from this seller again ,5
18,good condition phone works great,5
19,when the charging port on my old iphone se  first generation  went bad  i needed a replacement  but what  any new phone from apple costs a small fortune  yet buying a used or  renewed  phone from third party suppliers is always a gamble so with considerable trepidation  i searched amazon for  renewed  options  i knew that third party sellers   renewed  phones came with an amazon backed   day guarantee  but then i discovered amazon s  renewed premium  products  that s where hired techies put the product through rigorous restoration and  in the case of the iphones    point testing  after which amazon offers a full year s guarantee  for any reason  that generous guarantee  and the fact that amazon would ship the product directly  reassured me  i decided to buy only a phone covered by that  renewed premium  warranty in choosing  i wanted a step up from the first generation se and the dated iphone    i also wanted one whose battery could be recharged via a wireless charger  rather than those plug in ports  which can wear out  it s happened to me twice  i settled on the iphone      the silver model    gb  fully unlocked for all carriers  and of course with the renewed premium guarantee  its product page promised me  a like new experience   i figured that was probably a bit of an exaggeration    that any used renewed phone must have some deficiency  if only minor cosmetic damage or a less than    battery well  i m thrilled to report that by  like new   amazon delivered me a renewed iphone   that looks and functions as if it had just come fresh off apple s manufacturing assembly line  i mean a gorgeous  pristine looking phone with zero defects  scratches  or cosmetic blemishes on its screen  edges  or back  after swapping the sim card from my old iphone se  the iphone   powered right up  and    as far as i can tell after several days of use    it functions perfectly in every respect  furthermore  even though amazon only promises that the phone battery will charge to at least     mine charges fully  to     in short  it s a phone indistinguishable from a brand new one    but at a far more affordable price of just a few bucks over    let me add that the phone wasn t casually swathed in bubble wrap and dumped into a cardboard shipping box  either  instead  it came packaged in a sturdy  amazon renewed  box    one that was custom designed to hold that model iphone  its charging cable  its wall plug  and a sim tray opening tool  each item was individually wrapped in plastic and fit inside its own designated slot in the box  this extra care in secure  well designed packaging was much more than i expected i ve experienced many good transactions for a lot of great products on amazon  however  this iphone   purchase may be my best experience yet   okay  except perhaps for the purchase of my own thriller novels  published via kindle direct publishing    but hey  i m biased   i eagerly recommend this particular model of the excellent iphone    purchased under the  renewed premium  option  with that guarantee  there s absolutely no downside risk  and i think you can confidently expect to enjoy a truly  like new  phone   robert bidinotto  author   the dylan hunter thrillers series,5
20,same as title,5
21,even though i purchased a renewed phone  i can t tell it from a new one and am very impressed with quality   i didn t rate the fingerprint reader or the face recognition because i haven t  and probably won t  use those features   the battery life is sufficient for my activities  so it gets a   star rating   i don t play games or watch videos on it so far  since i m an old geezer  lol    but i do have a few  favorite apps i access from time to time   if you re not really tech savvy  like me  and can t figure out how to close the apps  just google the question and you ll find the answer   closing the apps saves the battery  naturally    i read where some were complaining about the battery life and  if they re not closing the apps  this may be the culprit  i had an old android before and would never go back since purchasing an iphone   i ve read the iphone is much more intuitive to use   now  i have demonstrated such to myself the camera is quite an improvement over the one in my android    the android couldn t flip the view in order to take a selfie for one thing    i ve taken some really beautiful  true to color  imo  photos with the iphone    comparable to my expensive  for me  canon rebel and i don t have to change lenses for closeups  lol   phone camera seems to take care of shake automatically  too   i m still learning all the features of the phone  not just the camera  and will get more proficient over time i really  really  love my  new  phone and wouldn t hesitate to recommend seller or purchase from them again   this is the first time i ve purchased a used phone and was a little worried about purchasing a used renewed phone  especially over the internet   i had absolutely no problem activating it  cell provider even gave me a free sim card  and no malfunctions for the two weeks  now  that i ve been using the phone   the only thing i would recommend to some reviewers buyers  who say their phone won t charge  is the plug will fit into the phone either way   i found out it will only charge one way  however   so  i marked that side of the plug with a dot of magic marker and have had no problem since    the plug in my old phone would only fit one way  so i couldn t screw up  lol    also  there s a way to put the battery indicator  life percent and charging indicator  on the front of your phone  at the upper right corner    just google how to do this  too   easy peazy   that way  you always know if the phone is charging  by the lightning bolt on the battery symbol  and the percentage of charge    i think my old android had this feature on the front as a default   i had to direct the iphone to do this   that s not a complaint   there may be others reading this who may not know they have to do this  either  if they want it on their front screen  ,5
22,excellent deal   ,5
23,honestly i was a little skeptical at first purchasing an older iphone and expecting to work as new  i haven’t been disappointed  the battery life  was my main concern and for the age of the phone  i couldn’t ask for more  i have it set on low mode and the phone lasts me all day and still have    of battery left  i’m so happy win it and i just bought another one for my husband and plan to buy another one later for another family member ,5
24,good delivery  great product  excellent business,5
25,works well  minor scratches on the back of the phone ,4
26,battery life is    ,4
27,bought this for someone and they love the phone  it arrived in excellent condition and at a good price  very satisfied with this purchase ,4
28,good as new,5
29,my son loves his phone,5
30,amazing phone works good expet the batter health was at   not above   and there is scratches and no sim removal kit but overall works well,4
31,for a renewed product i am a bit surprised works great and fits my budget ,5
32,i order myself and my bf this phone and it’s was and is excellent just a couple scratches was all again these were refurbished phones but work amazing and batter life is really good ,5
33,great for my   young kids,5
34,for the price  it was a great purchase  i couldn t find any scratches or marks  and it looked good as new  it also came with a screen cover  which was nice  setup was easy  i ve noticed one or two glitches but nothing that isn t common with a cr apple  device so it s probably just the ios  reboots solved the issue  just like on a brand new device overall  i like the phone  a lot  and i d return to buy another from this seller if i m in the market for it my only critique is the battery  the description said the batteries of products were tested and met   percent capacity  but that was not the case  it said  service  as soon as i turned it on the first time  and it died immediately from    percent  after charging several hours  i purchased a battery separately at the same time because i figured it would give out sooner since it s a refurb  still  it wasn t   percent  not even close  if you know how to change the battery in an iphone then get a new battery and prepare to change it yourself  now the phone is  like new  ,4
35,i like the proformance  and the features  and used for every day uses,5
36,good price,5
37,battery doesn’t like to stay charged long on one of them but the second one works perfect,5
38,well i bought the phone and started reading the reviews i was hesitant at first but i atuck through and i got it  i was shaking when i got it because the reviews said it would degrade and break adter the warrenty  i like the phone though  about like a week or three after having it its really good  the battery came at    and overall i would say buy it   ,4
39,battery was actually at     otherwise it seems like a decent phone ,4
40,fingerprint works great  don’t know about facial recognition for       its a steal,5
41,follow up review  the company replaced the phone but i did have to contact them to get it done faster  i am pleased with the phone and i took off one star for the delay  just because i felt the phone should have been sent overnight automatically and because contact was difficult  i definitely think they do a nice job and would use them again original review  phone poorly packed  bubble wrap was thin and not sealed so phone arrived half in the wrap after bouncing around inside of box  after placing sim and powering  i discovered the touch screen didn t work  useless  i couldn t turn the phone off  but luckily  it couldn t charge either so by the time i get it to ups it should be dead  waiting an additional   hours for a replacement  we ll see how that goes  very disappointed after all the good reviews about this company i read ,4
42,not everyone can afford the latest iphones   i highly think they are overpriced  but i do like the brand so i decided to get a older refurbished model  so far it works really well  i have   days if there is a problem to return  it came in good condition with no damage and had the charging adaptor and cord ,5
43,perfect   simply inserted sim from broken t mobile android ,5
44,this phone not only works great  it looks great  there are no blemishes on it at all  the batter stays charged up  i m very impressed ,5
45,this phone looks brand new and works well   the negative is i wish the battery was replaced when the phone was re newed   the battery was shipped at    remaining life and my expectation is that within a year it will decline to    and run at reduced performance   i expect i will then just replace the battery but i wish i had taken more time to interpret the small print,4
46,very good,5
47,had my phone stolen  so had to replace and get up and running   delivery was very good   condition of the phone was good   not a big user of phone  but need for work and personal use   don t get into the newest technology so don t want to spend money on features i will never use ,4
48,arrived on time an it looks brand spanking new no marks on it  was less then a   minute setup an it’s all ready to go  with the mint plan that is… i highly recommend to those looking for great quality an service ,5
49,so far so good   day   ,5
50,got it for my niece  her exact words   i love my phone  it s great  i love my phone  omg  needless to say  good quality  having problems with imessage games  but other than that full stars ,5
51,it personal use  great price looks like new ,5
52,the phone came in beautiful condition  no cracks and all buttons work  only downside was a degraded battery  which is expected with a phone that’s   years old   overall a solid purchase for a starter phone or second line ,4
53,wonderful phone  i am very happy with my purchase  works great ,5
54,my work iphone died and i need to get another   i only use this phone for work only with teams  email  and soft two factor authetication for work  si i did not want to spend a lot of money   at first  i was very skeptical if ordering a refurb iphone without seeing it first  but a friend ordered one of these and was happy with the outcome  so i thought i would give it a shot the phone arrived faster then what was stated it would   the phone looked brand new  and the battery life was     my previous ohone the battery life was in the    i did not replace the battery  because the screen had a major crack on it  but it did what i needed until it just died  and it came with a charger and cable i had to charge the battery when i first got it   no big deal   after charging  i did an update  and then started adding the different tools i have had the phone for about two weeks  with no issues at all   if there are any issues  i will update this review ,5
55,this iphone is absolutely like brand new  i m thrilled ,5
56,i like the item and seller very much ,5
57,everything works n looks new awesome deller,5
58,i purchased the iphone   refurbished and works great  in excellent condition   would buy my next upgrade again as a refurbished version  thank you ,5
59,quick response from the seller  good customer service  fast delivery and received the product as described on amazon ,5
60,iphone     space gray unlocked gsmwhat came in the    iphone     space gray unlocked    lightning    usb    original boxwhat was not in the       sim card removal    user manualthe cable and plug are white and wrapped in plastic just like what you would get if it was new from apple  i cannot tell if these are originals earphoneshave always used   party so not getting a set was not a deal breaker phone conditionbody is in very good condition  there are paint flecks on the corners  maybe dropped on a hardwood floor  it is smooth to the touch  not deep so it does not appear to have been dropped on concrete  pavement or other rough surface and it is not a light scratch from carrying it in a pocket screen conditionit came with a screen protector already applied  if there are any scratches i cannot tell  with the protector on  it looks pristine a bummer since it was not mentioned in the ad and i had purchased a case and screen protector for it  i always protect the phone before it goes outside it’s an expensive device so why people don’t protect it from day one i’ll never know  i guess some don’t care  i have a spare screen protector now battery condition  battery health says    maximum capacity relative to when it was new     charge on startup even though capacity says     i am not having issues where i am out of juice early  over a day with moderate use  heavier use i would need to recharge around         pm  this of course is a ymmv setting it upphone was already reset  you set it up just like if it came straight out of the factory camerano scratches on the lens and photos come out crisp and sharp speakersno issues  sound is very good  no hissing  cracks or pops microphone  lighting portno issues  works phone came with ios       installed  so far i have not come across any issues that would give me pause on the purchase  phone is working as expected and the ad says phone is like new and i would have to agree  amazon tends to lump all the reviews together  regardless of seller so you can’t tell which negative review belongs to who  it’s as if it was all sold by one seller   reviewers need to say who their seller was my seller was mobiledealz and at the time they were a little bit cheaper than most   this phone debut at       tax on september       nearly   years later it is has seen a     price drop  i don’t need the latest and greatest  a gently used phone is just as good ,5
61,its really good over all no problems with it but the battery only lasts   to   hours before needing to charge again would recommend buying a new battery but its just not worth buying a new battery because then you have to pay for them to replace the battery but other then that its really good  would recommend buying a new charger broke after the first   days ,5
62,my old iphone died and i had to get a new phone in a hurry  i was stunned to discover that apple eliminated the home button on its phones after iphone    i didn t want to do without it so i had to find an iphone   at least as a substitute until i figure out if i want a more recent phone i tried verizon  ebay and scoured the web for an iphone   in at least very good condition  i also was wary about the reputation of the seller having once bought a used phone that turned out to have been stolen  it couldn t be activated the phone i bought appeared to be too good to be true  it was significantly less than one i had been considering on verizon and it was in better condition  and  even though we are right in the middle of the xmas rush  i got my phone a day early  it is in pristeen condition and i had no problem activating it on verizon i am thrilled ,5
63,from renewed product pov it was good  barely noticeable scratches on screen  battery health was     well packaged  can t ask for more from renewed product ,4
64,the battery is absolute trash  although the fact that the seller didn t charge it past    before shipping it off  when it was guaranteed to be no less than    when i received it  probably didn t help  so it was very much dead by the time it got to me  the charging block that it came with also didn t work  thank goodness i have plenty of spares lying around    but thankfully the cord did and does a good job at charging it  overall  satisfied  with this being my first iphone ever  and i knew going in the battery might be trash  so i had already looked up how much it was to potentially replace it  fyi guys  gals    non binary pals  apple will replace the battery for      at the time i posted this anyway     best buy is also a certified apple refurbisher  so you could get it done there as well  don t know how much it ll cost there though  i m still trying to figure this phone out  so i might update as i get more acquainted with this phone ,3
65,the iphone   looked like it was new out of the box  no scratches nor dents   the unit even had a very nice screen protector on it ,4
66,it looks and runs great time will tell   ,4
67,got for my wife when my old phone she was using broke down  this a great phone and mostly inexpensive,5
68,here is what is being kept from all potential customers    when any  smartphone  or  laptop  or anything else of this type of merchandise  the ability to work on any device depends on several issues  example     is there money that is still owed on whatever the device is   if so  someone could get away with selling it  but the debt will eventually catch up to the serial number  regardless of where it is  physically   regardless of if it has been re purchased or not it is also    impossible for any technically gifted team  such as amazon s highly boasted department they maintain to use in order to run the diagnostics  correct any problematic issues they find  in order to fairly price these highly monitored gadgets everyone needs to remember that each time they are offered to  trade in their old device  to get a price break if they purchase from whatever company  there are literally millions of other people being offered the exact same thing if what i m saying is put into question  go by any best buy store  and ask to get a tiny bit of information from anyone who is working in the geek squad  they are much more gifted in explaining what i m attempting to explain you could contact apple  where anyone who holds a position in apple leadership can also explain how many other different companies around the world who hold tariffs which allow them to hold rights to millions of apple devices  from financing them to help and support with troubleshooting one of their customers apple macs  iphones  iwatches  etc   guys  i am no different than any of you guys who fell for amazon s lies  i paid over    in mid   for an iphone      supposedly  renewed   and i never could get to the bottom of why it would quit allowing me to send an imessage with my iphone number  yet i could use my apple id  or either one of my icloud addresses  i would have to go back to verizon and have them insert a new sim card into the iphone every time it occurs i finally had a very savvy apple representative do a great deal of extra research with its information right there listed in the general section of my settings  what she located were the devices full history  and that as of march   the device had been locked   fyi  it is impossible for any locked device to be tested and receive true findings  and it s especially impossible for any device made by any company while it is in locked mode by that company to be  renewed  did you guys get that  amazon is and has been stealing all of our money by selling devices which are or have been locked by carriers my iphone   was locked by a company  located in tokyo japan  called softbank all you ve got to do is type softbank into your browser and you ll see that i m not dreaming one word of this up i imagine amazon is more than likely selling thousands of locked devices to it s customers if you ve ever heard the saying  whatever you do in the dark will eventually find it s way into the light    then it won t come as a shock as to  why amazon s stock plummeted to the tune of trillions  which reflected throughout each quarter in    sure  amazon will continue to be a fixture in millions of everyone s lives  but  i m not one of them  i have pushed myself away from the table  and excused myself  i m too full of what amazon has continually served me ,1
69,battery lasts a long time and it s in good condition  clean  solid  i mean it s not the latest but who cares  it has a button that only works when the phone is on so who knows how that works but it s weird  my old one button worked even when the phone was off ,5
70,,5
71,ok for the price  battery    and some of the stock apps are missing and i cannot find to reload,4
72,i bought the  renewed  phone with a rating of  excellent condition   i read the downer reviews  but decided that i trust amazon to describe an item honestly   this phone exceeds all of the descriptions   i could not find a scratch on the front or back   there were some tiny nicks where you plug in the lightning charger cord but  the greatest feature is the battery health     and it stays charged all day even when i m pounding instagram or other wifi intensive aps i have att and bought the  locked to att  phone   all i did was install my sim card from my old iphone and it came to life and works great i m very happy with this phone ,5
73,iphone   arrived with lots of tiny scratches on screen and and inch long gouge  putting a screen protector on over scratched screen doesn’t seem to qualify as refurbished excellent condition  should just say used  not refurbished if sending with scratched screen      battery health  without replacing battery  presume used phones are just checked to see if they work and sent to someone else  asked ray over phone for partial refund as device sent qualifies as fair condition not excellent  granted thanks i put phone in case   can buy new battery  worried camera occasionally freezes up… more affordable than buying new iphone ,4
74,bought it for my brother battery life weak but otherwise nice phone despite all my fears,5
75,the phone i have now works so well  it s in seemingly perfect condition  for what i paid for a used phone  i feel the seller deserves praise for the product at the end of the day  i wish i could give four stars  there were several communication issues  product issues that i felt took this order in a wonky direction      the order was sent to my address with signature required  when i asked to remove the required signature  i m not home all the time   the package was sent the next day to a location one state away  rather than spend another four to five days without a phone  i chose to drive a half hour through a different state to pick up the package at the fedex facility  okay     the first phone stopped working after a few weeks  believe me  being without a phone for a few days can be a risky issue  i don t even have a phone at home  what if i had to call    my employer  etc   they gave me a very quick and flexible response  saying they would replace or return the phone  amazing response  they told me to remove my icloud info and delete the email app  which was impossible because it wouldn t even turn on  but no problem  they removed the icloud account and email when i turned it in somehow  however  they did not mention that i would have to hold onto the sim card so they sent me a new iphone  nice model  everything fine  except  no sim card      no sim card  by this time the world was in the middle of an epidemic crisis  my carrier was closed except for in one location  fine  but the carrier veritably chased me away yelling at me to call because they had no functioning service  not fine   no phone   after all the drama i figured out how to call them without activation on my own  a few days later i got the sim  anyway  the new phone works outstandingly  the exchange was smooth  they were very fast at messaging and did a terrific job of offering me an exchange immediately with no extra fees  however the lack of notice about a signature requirement upon delivery  the first phone battery stopping completely  and the lack of communication about holding my old sim card backed up my phone use  i m all set now though  four stars ,4
76,i use this for my work phone and to manage extra content  i dont use the face or fingerprint id stuff  it was a great price and i haven t had any issues with it whatsoever ,5
77,got this for my grandma who wanted an iphone  came perfectly packaged and ready i really thought it wouldn’t come in great condition but it was awesome ,5
78,phone look new,5
79,was in need of replacing my dying phone and found a great value in this phone   it is an older model but the quality of the phone was top notch   it was in excellent condition and i am still using this phone ,5
80,update   after i returned the first iphone  i ordered a second one   the second one came very quickly as well   this one came with    battery capacity and much less pitting and wear than the   one   since these are used phones  i guess it really just depends on the luck of the draw   i did notice the price increased a few dollars when i purchased the second one  so maybe there s something there  anyways  adjusted my review from   to   stars   the second phone deserves   stars  but since i had to go through the process of returning the   one  which forced me to switch phones   weeks later than i would ve liked  i say   stars is fair original to note  i am obviously returning this product  but will give time for the seller to make things right   i will change delete my review if the seller can remedy the situation to the seller s credit  this phone was delivered much faster than expected  almost a week early   however  what good is a phone that arrives early if it isn t as advertised   one of the only guarantees this product comes with is that the battery capacity will exceed      that s directly from the description from the listing   imagine my disappointment when i go to settings and see the message  your battery s health is significantly degraded      maximum capacity        this is worse than the iphone   i currently have and was trying to  upgrade   and keep in mind i had my current iphone   for about   years now   completely unacceptable if even after all that  you still decide to purchase one of these  i should also mention  if you look close enough  you can tell you bought a used phone   this isn t to knock the seller or the product  it s clear you re not getting a new product  just shows minor signs of wear and tear ,4
81,phone seems to work well overall  issues initially with hearing voice when someone calls and i pick up  it seemed very quiet and i was unsure how to correct   i believe the sound was locked under settings   i don t seem to be able to adjust it any further even thought the volume controls are set at high  open button requires some pressure and many times i kept getting siri ,3
82,i bought this as a replacement phone for se originally but ended up upgrading it is over all a good phone however it dies really fast and the camera quality isn t really the best but despite those the phone is overall really good and arrived earlier than expected im truly happy with my purchase ,4
83,this phone was in great working condition  it was free of scratches as well  it was purchased for a friend who lost her phone  she loves it  ,5
84,loved it  qualitative phone for its price works really well  camera is good  overall good quality,3
85,worked okay for a few months then slowed down so much it almost had been thrown across the room  most apps can’t run because the processor i’m guessing  it will try it but then close the app  sometimes goes to a frozen screen and can’t do anything until you do a hard reset  this was my first refurbished phone and not impressed  even on   wi fi it’s slow  i know it’s this phone  because my work phone is just fine ,3
86,works as expected  condition was up to standards and all features seem to be working as advertised ,4
87,only dislike is it does not come with a real iphone charger two days after using the phone the charger breaks,4
88,good on all functions,5
89,my phone arrived in just one day but would not hold a charge for long   i replaced the battery and was issued a refund for the cost of the replacement   i’m satisfied   the seller customer service through amazon was on point ,4
90,this renewed iphone   arrived in good condition  there were no visible scratches and overrall the phone works great however  the battery does not hold up to the     capacity claim  after a few days of first activating it  the battery declined from    to     although the charge still lasts quite a bit  also  this specific unit seemed to have had the screen replaced at some point in the past  considering the brightness and pixel density is definitely not what is expected of an iphone  the phone works internationally and is not locked to any specific carrier  however i would ve still loved for the seller to be more honest with the battery capacity claim if you don t have the budget for a new iphone but still want the apple experience  i d recommend you to go ahead and purchase one of these renewed ones  although be advised that you will get what you pay for  so adjust your expectations accordingly ,4
91,bought this for my mother  it came in perfect condition  unnoticeable scratches on the back looks brand new ,5
92,this was bought for someone else they are verysatisfied,5
93,i enjoyed using the phone  it was perfect ,5
